ID,Mi rol principal en la universidad es:,Distancia Recorrida (ida),Tiempo de traslado (ida),Modo de transporte principal,En tu viaje al ITESO: ¿Empleas el automóvil como la persona conductora o pasajera?,¿Qué días de la semana te trasladas al ITESO?_1,¿Qué días de la semana te trasladas al ITESO?_2,¿Qué días de la semana te trasladas al ITESO?_3,¿Qué días de la semana te trasladas al ITESO?_4,¿Qué días de la semana te trasladas al ITESO?_5,¿Qué días de la semana te trasladas al ITESO?_6,¿Qué días de la semana te trasladas al ITESO?_7,dias_campus_total,Días de desplazamiento al trabajo,"En un día típico, ¿a qué hora llegas y sales del ITESO?",Hora_1,Hora_2,Segundo Horario,Hora_1,Hora_2,Doy regularmente aventón_1,Pido regularmente aventón_1,Compartido con pasajeros_1
27812,Profesor (a) de tiempo fijo,12.46,,Automóvil SUV (tipo camioneta),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,09:30:00,Mi horario de salida es flexible,18:00:00,20:00:00,,,
27813,Profesor (a) de asignatura,3.14,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,13:00:00,,Nunca,Nunca,1
27814,Estudiante de licenciatura,21.85,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,06:55:00,,Mi horario de salida es flexible,15:00:00,20:00:00,,,1
27815,Estudiante de licenciatura,7.96,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,13:10:00,17:00:00,,3 veces por semana,1
27816,Personal administrativo,12.06,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,1 vez por semana,,
27817,Profesor (a) de tiempo fijo,9.49,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:50:00,10:45:00,Mi horario de salida es flexible,16:00:00,20:00:00,2 veces por semana,Nunca,
27818,Profesor (a) de asignatura,16.91,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,06:45:00,,Mi horario de salida es fijo,08:50:00,,Nunca,,
27819,Profesor (a) de asignatura,7.51,,Automóvil compacto,Conductora,,Martes,,Jueves,,,,2,2,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,13:00:00,,Nunca,Nunca,
27820,Profesor (a) de asignatura,25.21,45,Automóvil compacto,Conductora,,Martes,Miércoles,,,,,2,2,Mi horario de llegada es flexible,16:00:00,19:00:00,Mi horario de salida es flexible,19:00:00,22:00:00,1 vez por semana,Nunca,
27821,Personal administrativo,4.45,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,Miércoles,,Viernes,,,3,3,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,17:00:00,,Nunca,Nunca,
27822,Profesor (a) de asignatura,15.39,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,,Miércoles,,,,,2,2,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,11:00:00,13:00:00,,,
27823,Estudiante de licenciatura,32.06,,Automóvil compacto,Conductora,,,,,Viernes,,,1,1,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,13:00:00,05:00:00,1 vez por semana,,
27824,Profesor (a) de tiempo fijo,4.33,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,14:00:00,22:00:00,Nunca,Nunca,
27825,Estudiante de licenciatura,17.12,20,Automóvil compacto,Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,07:00:00,13:00:00,Mi horario de salida es flexible,15:00:00,22:00:00,Nunca,Nunca,2
27826,Personal administrativo,4.81,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,10:00:00,,Mi horario de salida es fijo,19:00:00,,,,
27827,Profesor (a) de tiempo fijo,13.41,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,19:00:00,,Nunca,Nunca,
27828,Estudiante de licenciatura,,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,11:00:00,18:00:00,,,
27829,Personal administrativo,16.3,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,17:05:00,18:30:00,Nunca,,1
27830,Profesor (a) de asignatura,32.45,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,13:00:00,18:00:00,Nunca,Nunca,
27831,Estudiante de licenciatura,17.15,,Tren Ligero (Mi Tren),Pasajera,Lunes,Martes,Miércoles,,,,,3,3,Mi horario de llegada es flexible,09:00:00,04:00:00,Mi horario de salida es flexible,18:00:00,22:00:00,,,
27832,Personal administrativo,4.26,,Automóvil compacto,Conductora,,Martes,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es fijo,17:00:00,,Nunca,Nunca,
27833,Personal administrativo,2.63,10,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:50:00,,Mi horario de salida es flexible,17:00:00,19:00:00,,,
27834,Profesor (a) de asignatura,9.56,,Automóvil compacto,Pasajera,,Martes,,Jueves,Viernes,,,3,3,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,11:00:00,13:00:00,,,
27835,Profesor (a) de asignatura,16.91,,Automóvil SUV (tipo camioneta),Conductora,,Martes,,,,,,1,1,Mi horario de llegada es flexible,17:40:00,18:00:00,Mi horario de salida es flexible,19:30:00,20:10:00,Nunca,Nunca,
27836,Estudiante de licenciatura,19.4,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es fijo,21:00:00,,Nunca,Nunca,
27837,Profesor (a) de asignatura,22.17,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:10:00,,Mi horario de salida es fijo,12:00:00,,,,
27838,Profesor (a) de asignatura,9.08,,Automóvil compacto,Conductora,,Martes,,Jueves,,,,2,2,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,18:00:00,21:00:00,Nunca,Nunca,1
27839,Estudiante de posgrado,11.52,,Peribus,,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,18:00:00,,Mi horario de salida es fijo,22:00:00,,,,
27840,Estudiante de licenciatura,23.77,,Mi Macro (Calzada o Periférico),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,02:00:00,,,Nunca,
27841,Personal administrativo,23.16,,Automóvil SUV (tipo camioneta),Conductora,,Martes,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,19:00:00,22:45:00,Nunca,,
27842,Profesor (a) de asignatura,23.65,,Mi Macro (Calzada o Periférico),,,,Miércoles,Jueves,Viernes,,,3,3,Mi horario de llegada es flexible,11:00:00,13:00:00,Mi horario de salida es flexible,13:00:00,15:00:00,,,
27843,Estudiante de posgrado,10.61,,Automóvil compacto,Conductora,Lunes,,Miércoles,,,,,2,2,Mi horario de llegada es fijo,05:30:00,,Mi horario de salida es fijo,10:00:00,,Nunca,Nunca,
27844,Profesor (a) de asignatura,4.65,,Automóvil compacto,Conductora,,,,Jueves,,,,1,1,Mi horario de llegada es flexible,17:30:00,18:00:00,Mi horario de salida es flexible,21:30:00,22:00:00,Nunca,Nunca,
27845,Estudiante de licenciatura,6.2,,Scooter o monopatín,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,06:00:00,,,,
27846,Profesor (a) de asignatura,11.63,,Automóvil SUV (tipo camioneta),Conductora,,Martes,,Jueves,,,,2,2,Mi horario de llegada es flexible,17:30:00,17:45:00,Mi horario de salida es fijo,20:00:00,,Nunca,Nunca,
27847,Personal administrativo,15.31,,Automóvil SUV (tipo camioneta),Pasajera,,Martes,,Jueves,Viernes,,,3,3,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,05:00:00,,,,2
27848,Profesor (a) de asignatura,9.76,,Mi Macro (Calzada o Periférico),,Lunes,Martes,,,,,,2,2,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,12:00:00,13:00:00,,,
27849,Personal administrativo,11.39,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,16:00:00,,Mi horario de salida es fijo,20:00:00,,Nunca,Nunca,
27850,Profesor (a) de tiempo fijo,22.56,20,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,07:00:00,,Nunca,Nunca,
27851,Personal administrativo,10.83,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,13:30:00,14:00:00,Nunca,,1
27852,Profesor (a) de asignatura,17.22,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,,Jueves,,,,2,2,Mi horario de llegada es fijo,06:40:00,,Mi horario de salida es fijo,09:00:00,,Nunca,Nunca,
27853,Estudiante de licenciatura,7.82,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,08:00:00,11:00:00,Mi horario de salida es flexible,06:00:00,10:00:00,Nunca,,
27854,Estudiante de licenciatura,28.48,,Automóvil híbrido,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:15:00,08:50:00,Mi horario de salida es fijo,13:00:00,,,,
27855,Personal administrativo,8.04,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,10:00:00,,Mi horario de salida es flexible,19:00:00,20:00:00,Nunca,Nunca,
27856,Personal administrativo,22.94,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,14:00:00,19:00:00,Nunca,Nunca,
27857,Profesor (a) de asignatura,12.68,3,Automóvil SUV (tipo camioneta),Conductora,,Martes,,Jueves,Viernes,,,3,3,Mi horario de llegada es flexible,08:00:00,08:30:00,Mi horario de salida es flexible,13:00:00,15:00:00,Nunca,Nunca,2
27858,Profesor (a) de tiempo fijo,5.16,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,10:00:00,Mi horario de salida es flexible,14:00:00,18:00:00,Nunca,Nunca,
27859,Profesor (a) de tiempo fijo,13.39,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,10:00:00,Mi horario de salida es flexible,16:00:00,20:00:00,3 veces por semana,1 vez por semana,1
27860,Profesor (a) de asignatura,41.42,,Autobús,Pasajera,Lunes,,Miércoles,,Viernes,,,3,3,Mi horario de llegada es flexible,10:00:00,11:00:00,Mi horario de salida es flexible,13:00:00,15:00:00,,,
27861,Estudiante de licenciatura,27.45,,Transporte colectivo (Camión/rutas de MiTransporte),,,Martes,Miércoles,,Viernes,,,3,3,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,04:00:00,,,,
27862,Personal administrativo,15.28,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,05:00:00,07:00:00,3 veces por semana,Nunca,4
27863,Profesor (a) de tiempo fijo,10.67,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es flexible,20:00:00,21:00:00,,,
27864,Estudiante de licenciatura,17.91,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,20:00:00,,,,1
27865,Personal administrativo,18.21,20,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,19:00:00,,Nunca,,1
27866,Profesor (a) de tiempo fijo,8.69,5,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:15:00,,Mi horario de salida es flexible,18:00:00,20:00:00,Nunca,Nunca,1
27867,Estudiante de licenciatura,5.1,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,,,
27868,Profesor (a) de tiempo fijo,8.4,60,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,14:00:00,20:00:00,Nunca,Nunca,
27869,Personal administrativo,9.95,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,19:00:00,,Nunca,Nunca,
27870,Personal administrativo,16.27,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,19:00:00,22:00:00,Nunca,Nunca,1
27871,Estudiante de licenciatura,16.35,,Automóvil SUV (tipo camioneta),Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,07:50:00,,Mi horario de salida es flexible,13:00:00,18:30:00,,1 vez por semana,1
27872,Estudiante de licenciatura,15.55,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,15:00:00,20:00:00,Nunca,1 vez por semana,
27873,Profesor (a) de asignatura,11.93,,Automóvil compacto,Conductora,,Martes,,,,,,1,1,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es flexible,17:00:00,18:00:00,1 vez por semana,,
27874,Estudiante de licenciatura,17.44,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,18:30:00,Mi horario de salida es flexible,13:00:00,21:30:00,Nunca,Nunca,
27875,Estudiante de Prepa ITESO,2.59,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,06:40:00,06:50:00,Mi horario de salida es flexible,03:15:00,03:20:00,,,
27876,Estudiante de posgrado,11.27,,Mi Macro (Calzada o Periférico),,,,Miércoles,,,,,1,1,Mi horario de llegada es flexible,17:45:00,18:30:00,Mi horario de salida es fijo,22:15:00,,,,
27877,Estudiante de licenciatura,,,Transporte colectivo (Camión/rutas de MiTransporte),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,06:10:00,,Mi horario de salida es flexible,13:00:00,16:00:00,,,
27878,Estudiante de licenciatura,10.8,,Automóvil SUV (tipo camioneta),Conductora,,Martes,,Jueves,Viernes,,,3,3,Mi horario de llegada es flexible,12:30:00,17:45:00,Mi horario de salida es flexible,15:15:00,21:15:00,1 vez por semana,,
27879,Estudiante de licenciatura,9.18,,Transporte universitario,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,18:00:00,20:00:00,,Nunca,
27880,Estudiante de licenciatura,8.86,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,11:00:00,14:00:00,1 vez por semana,1 vez por semana,
27881,Estudiante de licenciatura,17.29,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,09:00:00,20:00:00,1 vez por semana,Nunca,
27882,Profesor (a) de asignatura,11.37,,Automóvil híbrido,Conductora,,Martes,,Jueves,,,,2,2,Mi horario de llegada es fijo,00:18:00,,Mi horario de salida es fijo,00:22:00,,2 veces por semana,,
27883,Profesor (a) de tiempo fijo,10.02,5,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,15:00:00,15:30:00,4 o más veces por semana,Nunca,1
27884,Profesor (a) de tiempo fijo,9.98,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,06:30:00,09:00:00,Mi horario de salida es flexible,14:00:00,21:00:00,1 vez por semana,Nunca,1
27885,Estudiante de licenciatura,1.96,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,08:00:00,13:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,,,
27886,Profesor (a) de tiempo fijo,2.65,,Llego caminando hasta el ITESO,Conductora,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es flexible,07:00:00,08:00:00,Mi horario de salida es flexible,16:00:00,18:00:00,1 vez por semana,Nunca,
27887,Profesor (a) de tiempo fijo,19.01,6,Taxi (internet o aplicación como Uber),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,15:00:00,16:00:00,,Nunca,2
27888,Personal administrativo,6.13,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,09:01:00,,Mi horario de salida es fijo,19:01:00,,3 veces por semana,,1
27889,Estudiante de licenciatura,12.53,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,Sábado,,5,5,Mi horario de llegada es flexible,07:00:00,16:00:00,Mi horario de salida es flexible,15:00:00,18:00:00,1 vez por semana,,1
27890,Profesor (a) de asignatura,7.91,,Automóvil compacto,Conductora,,Martes,,Jueves,,,,2,2,Mi horario de llegada es fijo,18:00:00,,Mi horario de salida es fijo,20:00:00,,Nunca,Nunca,
27891,Profesor (a) de asignatura,21.03,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,06:15:00,,Mi horario de salida es flexible,10:00:00,12:00:00,Nunca,Nunca,
27892,Estudiante de licenciatura,16.74,,Automóvil compacto,Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,15:00:00,19:00:00,2 veces por semana,Nunca,1
27893,Estudiante de licenciatura,19.68,,Tren Ligero (Mi Tren),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,15:00:00,18:00:00,Mi horario de salida es flexible,18:00:00,22:00:00,Nunca,2 veces por semana,
27894,Estudiante de licenciatura,2.11,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,01:00:00,05:00:00,,,
27895,Profesor (a) de tiempo fijo,6.51,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,14:00:00,,Mi horario de salida es fijo,22:00:00,,,,
27896,Estudiante de licenciatura,15.14,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,02:00:00,03:00:00,,,
27897,Profesor (a) de tiempo fijo,10.91,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:30:00,10:30:00,Mi horario de salida es flexible,21:30:00,22:30:00,Nunca,Nunca,
27898,Personal administrativo,9.06,10,Automóvil SUV (tipo camioneta),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,19:00:00,,,,
27899,Estudiante de licenciatura,8.37,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,04:00:00,,Mi horario de salida es fijo,08:00:00,,,,
27900,Estudiante de licenciatura,8.16,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,16:00:00,,Mi horario de salida es fijo,22:00:00,,2 veces por semana,,
27901,Estudiante de licenciatura,7.26,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,04:00:00,,Mi horario de salida es fijo,09:30:00,,,,
27902,Profesor (a) de asignatura,9.6,,Bicicleta propia,Conductora,Lunes,,,Jueves,,,,2,2,Mi horario de llegada es fijo,10:00:00,,Mi horario de salida es fijo,18:00:00,,2 veces por semana,,
27903,Estudiante de licenciatura,17.47,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,13:00:00,15:00:00,4 o más veces por semana,Nunca,2
27904,Estudiante de licenciatura,22.86,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,22:00:00,,3 veces por semana,Nunca,2
27905,Estudiante de posgrado,5.27,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,,Miércoles,,,,,2,2,Mi horario de llegada es fijo,06:00:00,,Mi horario de salida es fijo,10:00:00,,,,
27906,Estudiante de licenciatura,19.75,,Automóvil compacto,Conductora,,Martes,,Jueves,,,,2,2,Mi horario de llegada es fijo,18:00:00,,Mi horario de salida es fijo,20:00:00,,Nunca,Nunca,
27907,Estudiante de licenciatura,6.97,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,11:00:00,,1 vez por semana,Nunca,
27908,Estudiante de licenciatura,4.18,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,04:00:00,,Mi horario de salida es fijo,09:30:00,,,,2
27909,Estudiante de licenciatura,7.91,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,11:00:00,16:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,Nunca,Nunca,
27910,Estudiante de licenciatura,25.61,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,09:00:00,15:00:00,Nunca,Nunca,
27911,Estudiante de licenciatura,5.74,5,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,11:00:00,06:00:00,Mi horario de salida es fijo,09:00:00,,4 o más veces por semana,Nunca,2
27912,Estudiante de licenciatura,18.77,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,14:00:00,16:00:00,Mi horario de salida es fijo,22:00:00,,2 veces por semana,Nunca,
27913,Estudiante de licenciatura,23.45,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,16:00:00,,Mi horario de salida es fijo,22:00:00,,Nunca,Nunca,
27914,Estudiante de licenciatura,12.86,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es fijo,12:00:00,,Mi horario de salida es flexible,20:00:00,21:00:00,Nunca,Nunca,
27915,Estudiante de licenciatura,9.99,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,20:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,1 vez por semana,Nunca,
27916,Estudiante de licenciatura,9.66,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,17:00:00,18:00:00,Mi horario de salida es fijo,20:00:00,,,,
27917,Estudiante de licenciatura,18.06,,Mi Macro (Calzada o Periférico),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,06:00:00,08:00:00,,,
27918,Estudiante de licenciatura,18.43,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,15:00:00,20:00:00,2 veces por semana,Nunca,2
27919,Estudiante de licenciatura,12.61,2,Transporte universitario,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,18:00:00,20:00:00,,1 vez por semana,
27920,Estudiante de licenciatura,14.15,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,01:00:00,06:00:00,1 vez por semana,,1
27921,Estudiante de licenciatura,4.55,,Taxi (internet o aplicación como Uber),Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,13:00:00,20:00:00,,,
27922,Estudiante de licenciatura,5.43,,Automóvil compacto,Pasajera,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,07:30:00,,Mi horario de salida es flexible,13:00:00,18:00:00,1 vez por semana,Nunca,1
27923,Estudiante de licenciatura,26.79,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:10:00,,Mi horario de salida es flexible,14:00:00,17:00:00,Nunca,Nunca,
27924,Estudiante de licenciatura,28.2,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,10:00:00,13:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,Nunca,,
